skier_id,resort,jacket_color,ski_color,hours_skied,snow_quality,had_lunch,cm_of_new_snow,afternoon_beverage
1,Laax,white,green,1,5,True,49,orange juice
2,Lenzerheide,grey,black,6,7,False,31,wine
3,Verbier,yellow,orange,5,7,False,1,wine
4,Davos,pink,yellow,7,9,True,3,orange juice
5,Verbier,white,blue,5,6,True,0,coffee
6,Verbier,green,red,2,6,False,21,coffee
7,Verbier,purple,purple,7,1,False,22,wine
8,Arosa,pink,black,5,9,False,25,water
9,Verbier,red,orange,5,1,True,23,water
10,Davos,black,black,1,5,False,33,tea
11,Arosa,white,red,5,9,True,29,wine
12,Verbier,orange,grey,8,9,False,36,orange juice
13,Verbier,red,purple,4,1,False,14,snow_mocha
14,Zermatt,pink,black,3,6,True,40,orange juice
15,Zermatt,purple,blue,5,10,True,41,snow_mocha
16,Arosa,purple,white,6,7,False,33,tea
17,St. Moritz,purple,purple,8,3,False,2,tea
18,Jungfrau,white,pink,2,9,True,49,wine
19,Lenzerheide,blue,yellow,4,5,True,21,tea
20,Davos,orange,red,4,9,False,32,snow_mocha
21,Davos,yellow,yellow,9,5,True,30,snow_mocha
22,Engelberg,pink,purple,4,6,False,27,tea
23,Lenzerheide,green,pink,8,4,True,42,wine
24,Verbier,purple,orange,7,6,True,1,wine
25,Zermatt,grey,red,2,3,True,31,coffee
26,Davos,pink,pink,9,3,False,11,orange juice
27,Verbier,green,grey,8,7,True,12,water
28,Lenzerheide,white,white,7,5,False,39,coffee
29,Crans-Montana,white,yellow,2,8,False,24,wine
30,Zermatt,black,pink,5,3,True,31,coffee
31,Verbier,blue,white,5,6,True,28,water
32,Engelberg,green,purple,3,3,False,46,wine
33,Lenzerheide,white,yellow,7,3,False,14,wine
34,St. Moritz,orange,black,7,7,True,23,snow_mocha
35,Crans-Montana,yellow,pink,5,6,True,18,wine
36,Laax,green,black,7,5,False,6,snow_mocha
37,Verbier,orange,purple,9,3,True,1,water
38,St. Moritz,purple,blue,6,3,True,42,hot_chocolate
39,Jungfrau,orange,blue,5,6,False,2,wine
40,Lenzerheide,red,red,7,4,True,36,water
41,Verbier,grey,white,7,6,False,35,snow_mocha
42,St. Moritz,green,grey,3,8,False,18,snow_mocha
43,Laax,grey,pink,3,4,False,22,tea
44,Verbier,white,green,7,10,False,31,wine
45,St. Moritz,pink,purple,8,1,False,39,orange juice
46,Arosa,orange,red,2,5,True,16,wine
47,St. Moritz,white,yellow,3,2,True,47,snow_mocha
48,Davos,orange,blue,8,10,False,47,hot_chocolate
49,Laax,black,blue,2,2,False,42,wine
50,Engelberg,pink,black,6,6,True,25,snow_mocha
51,Crans-Montana,grey,pink,2,10,True,31,wine
